Country,Date,Cases,Deaths,Tests,Cases/Population,Deaths/Cases,Tests/Cases
United States,2021-03-19,29735258.0,541610.0,370254774.0,0.09060102985984156,0.018214403924122668,12.45170880979072
United States,2021-03-20,29790777.0,542349.0,371244069.0,0.09077019195612432,0.01820526534101477,12.461711522327867
United States,2021-03-21,29824599.0,542837.0,371857434.0,0.09087324497257769,0.018200982350173426,12.468145305155653
United States,2021-03-22,29876035.0,543558.0,372830859.0,0.09102996648385131,0.018193779730141565,12.479261689176626
United States,2021-03-23,29929723.0,544433.0,374358959.0,0.09119354966483852,0.018190378841795495,12.50793263272099
United States,2021-03-24,30016661.0,545943.0,376014137.0,0.09145844302254723,0.018187998991626684,12.52684757308616
United States,2021-03-25,30084207.0,547344.0,377457882.0,0.0916642504570384,0.018193732013610995,12.546712033991788
United States,2021-03-26,30161584.0,548495.0,378829350.0,0.09190001218769044,0.018185218654298792,12.559995191233988
United States,2021-03-27,30224426.0,549290.0,379827389.0,0.09209148689823278,0.018173711553695016,12.566901651002404
United States,2021-03-28,30267649.0,549815.0,380449982.0,0.09222318403412554,0.0181651042669353,12.569525370140244
United States,2021-03-29,30336922.0,550522.0,381455693.0,0.092434253503961,0.018146930001665958,12.57397480865066
United States,2021-03-30,30398351.0,551406.0,382986088.0,0.09262142291285802,0.018139339202971897,12.598909986926593
United States,2021-03-31,30465116.0,552482.0,384563867.0,0.0928248507007922,0.01813490550963272,12.623088879753485
United States,2021-04-01,30544235.0,553559.0,386003017.0,0.09306592017062766,0.018123190841086705,12.637508092771025
United States,2021-04-02,30614122.0,554513.0,387344316.0,0.09327886045094455,0.01811298066950932,12.652471823297757
